name,team,position
Adam Reynolds,Broncos,Halfback
Ben Hunt,Broncos,Halfback
Coby Black,Broncos,Halfback
Deine Mariner,Broncos,Centre
Delouise Hoeter,Broncos,Centre
Ezra Mam,Broncos,Five-Eighth
Gehamat Shibasaki,Broncos,Winger
Israel Leota,Broncos,Centre
Jesse Arthars,Broncos,Centre
Jock Madden,Broncos,Halfback
Josh Rogers,Broncos,Five-Eighth
Josiah Karapani,Broncos,Centre
Kotoni Staggs,Broncos,Centre
Reece Walsh,Broncos,Fullback
Selwyn Cobbo,Broncos,Winger
Benjamin Te Kura,Broncos,Prop
Billy Walters,Broncos,Hooker
Blake Mozer,Broncos,Hooker
Brendan Piakura,Broncos,2nd Row
Corey Jensen,Broncos,Prop
Cory Paix,Broncos,Hooker
Fletcher Baker,Broncos,2nd Row
Jack Gosiewski,Broncos,2nd Row
Jaiyden Hunt,Broncos,Prop
Jordan Riki,Broncos,2nd Row
Kobe Hetherington,Broncos,Lock
Martin Taupau,Broncos,Prop
Patrick Carrigan,Broncos,Lock
Payne Haas,Broncos,Prop
Tyson Smoothy,Broncos,Hooker
Xavier Willison,Broncos,Prop
Bailey Hayward,Bulldogs,Lock
Daniel Suluka-Fifita,Bulldogs,Prop
Harry Hayes,Bulldogs,2nd Row
Jack Todd,Bulldogs,Lock
Jacob Preston,Bulldogs,2nd Row
Jaeman Salmon,Bulldogs,2nd Row
Jake Turpin,Bulldogs,Hooker
Josh Curran,Bulldogs,Lock
Kurt Mann,Bulldogs,Lock
Kurtis Morrin,Bulldogs,Lock
Max King,Bulldogs,Prop
Reed Mahoney,Bulldogs,Hooker
Samuel Hughes,Bulldogs,Prop
Sitili Tupouniua,Bulldogs,2nd Row
Viliame Kikau,Bulldogs,2nd Row
Zyon Maiu'u,Bulldogs,2nd Row
Blake Taaffe,Bulldogs,Fullback
Blake Wilson,Bulldogs,Winger
Bronson Xerri,Bulldogs,Centre
Connor Tracey,Bulldogs,Fullback
Drew Hutchison,Bulldogs,Halfback
Enari Tuala,Bulldogs,Centre
Jacob Kiraz,Bulldogs,Winger
Joseph O'Neill,Bulldogs,Halfback
Marcelo Montoya,Bulldogs,Winger
Matt Burton,Bulldogs,Five-Eighth
Mitchell Woods,Bulldogs,Halfback
Stephen Crichton,Bulldogs,Centre
Toby Sexton,Bulldogs,Halfback
Braidon Burns,Cowboys,Centre
Jake Clifford,Cowboys,Halfback
Jaxon Purdue,Cowboys,Halfback
Murray Taulagi,Cowboys,Winger
Robert Derby,Cowboys,Winger
Scott Drinkwater,Cowboys,Fullback
Semi Valemei,Cowboys,Winger
Thomas Duffy,Cowboys,Halfback
Tom Dearden,Cowboys,Five-Eighth
Tom Chester,Cowboys,Fullback
Viliami Vailea,Cowboys,Centre
Zac Laybutt,Cowboys,Centre
Coen Hess,Cowboys,Prop
Griffin Neame,Cowboys,Prop
Harrison Edwards,Cowboys,Prop
Heilum Luki,Cowboys,2nd Row
Jason Taumalolo,Cowboys,Lock
Jeremiah Nanai,Cowboys,2nd Row
John Bateman,Cowboys,2nd Row
Jordan McLean,Cowboys,Prop
Kai O'Donnell,Cowboys,2nd Row
Kaiden Lahrs,Cowboys,Prop
Karl Lawton,Cowboys,2nd Row
Reece Robson,Cowboys,Hooker
Reuben Cotter,Cowboys,Prop
Sam McIntyre,Cowboys,Prop
Thomas Mikaele,Cowboys,Prop
Aublix Tawha,Dolphins,Centre
Hamiso Tabuai-Fidow,Dolphins,Fullback
Herbie Farnworth,Dolphins,Centre
Isaiya Katoa,Dolphins,Five-Eighth
Jack Bostock,Dolphins,Centre
Jake Averillo,Dolphins,Centre
Jamayne Isaako,Dolphins,Fullback
Junior Tupou,Dolphins,Winger
Kodi Nikorima,Dolphins,Halfback
Kurt Donoghoe,Dolphins,Five-Eighth
Max Feagai,Dolphins,Centre
Sean O'Sullivan,Dolphins,Halfback
Tevita Naufahu,Dolphins,Winger
Trai Fuller,Dolphins,Fullback
Connelly Lemuelu,Dolphins,2nd Row
Daniel Saifiti,Dolphins,Prop
Felise Kaufusi,Dolphins,2nd Row
Francis Molo,Dolphins,Prop
Harrison Graham,Dolphins,Hooker
James Walsh,Dolphins,2nd Row
Jeremy Marshall-King,Dolphins,Hooker
Josh Kerr,Dolphins,Prop
Kenneath Bromwich,Dolphins,2nd Row
Kulikefu Finefeuiaki,Dolphins,2nd Row
Mark Nicholls,Dolphins,Prop
Max Plath,Dolphins,Lock
Oryn Keeley,Dolphins,2nd Row
Ray Stone,Dolphins,Lock
Thomas Flegler,Dolphins,Prop
Tom Gilbert,Dolphins,Prop
Blake Lawrie,Dragons,Prop
Damien Cook,Dragons,Hooker
David Klemmer,Dragons,Prop
Dylan Egan,Dragons,2nd Row
Emre Guler,Dragons,Prop
Finau Latu,Dragons,Lock
Hame Sele,Dragons,Lock
Hamish Stewart,Dragons,Lock
Jack De Belin,Dragons,Lock
Jacob Liddle,Dragons,Hooker
Jaydn Su'A,Dragons,2nd Row
Loko Pasifiki Tonga,Dragons,Prop
Luciano Leilua,Dragons,2nd Row
Michael Molo,Dragons,Prop
Raymond Faitala-Mariner,Dragons,2nd Row
Ryan Couchman,Dragons,2nd Row
Toby Couchman,Dragons,Prop
Tom Eisenhuth,Dragons,2nd Row
Viliami Fifita,Dragons,Prop
Christian Tuipulotu,Dragons,Winger
Clinton Gutherson,Dragons,Fullback
Corey Allan,Dragons,Fullback
Kyle Flanagan,Dragons,Halfback
Lachlan Ilias,Dragons,Halfback
Mathew Feagai,Dragons,Winger
Moses Suli,Dragons,Centre
Nathan Lawson,Dragons,Centre
Sione Finau,Dragons,Winger
Tyrell Sloan,Dragons,Fullback
Valentine Holmes,Dragons,Centre
Bailey Simonsson,Eels,Winger
Dean Hawkins,Eels,Halfback
Dylan Brown,Eels,Five-Eighth
Haze Dunster,Eels,Winger
Isaiah Iongi,Eels,Fullback
Jake Tago,Eels,Winger
Joash Papalii,Eels,Fullback
Jordan Samrani,Eels,Centre
Josh Addo-Carr,Eels,Winger
Mitchell Moses,Eels,Halfback
Richard Penisini,Eels,Winger
Ronald Volkman,Eels,Halfback
Sean Russell,Eels,Fullback
Will Penisini,Eels,Centre
Zac Lomax,Eels,Centre
Brendan Hands,Eels,Hooker
Bryce Cartwright,Eels,2nd Row
Charlie Guymer,Eels,2nd Row
Dan Keir,Eels,2nd Row
Dylan Walker,Eels,Lock
J'maine Hopgood,Eels,Lock
Jack Williams,Eels,Prop
Joe Ofahengaue,Eels,Lock
Joey Lussick,Eels,Hooker
Junior Paulo,Eels,Prop
Kelma Tuilagi,Eels,2nd Row
Kitione Kautoga,Eels,Prop
Luca Moretti,Eels,2nd Row
Matt Doorey,Eels,2nd Row
Ryan Matterson,Eels,2nd Row
Ryley Smith,Eels,Hooker
Sam Tuivaiti,Eels,Prop
Shaun Lane,Eels,2nd Row
Toni Mataele,Eels,2nd Row
Wiremu Greig,Eels,Prop
Adam Elliott,Knights,Lock
Brodie Jones,Knights,2nd Row
Dylan Lucas,Knights,2nd Row
Francis Manuleleua,Knights,2nd Row
Jack Hetherington,Knights,Prop
Jacob Saifiti,Knights,Prop
Jayden Brailey,Knights,Hooker
Jermaine McEwen,Knights,2nd Row
Kai Pearce-Paul,Knights,2nd Row
Leo Thompson,Knights,Prop
Mason Teague,Knights,Lock
Mat Croker,Knights,Prop
Matthew Arthur,Knights,Hooker
Paul Bryan,Knights,Prop
Phoenix Crossland,Knights,Hooker
Riley Jones,Knights,Hooker
Thomas Cant,Knights,2nd Row
Tyrone Thompson,Knights,Prop
Tyson Frizell,Knights,2nd Row
Wil Sullivan,Knights,Prop
Bradman Best,Knights,Centre
Dane Gagai,Knights,Centre
Fletcher Sharpe,Knights,Fullback
Greg Marzhew,Knights,Winger
Jack Cogger,Knights,Halfback
Jackson Hastings,Knights,Halfback
James Schiller,Knights,Winger
Kalyn Ponga,Knights,Fullback
Logan Aoake,Knights,Winger
Simi Sasagi,Knights,Five-Eighth
Taj Annan,Knights,Centre
Tyson Gamble,Knights,Five-Eighth
Wilson De Courcey,Knights,Centre
Asu Kepaoa,Panthers,Centre
Blaize Talagi,Panthers,Five-Eighth
Brad Schneider,Panthers,Halfback
Brian To'o,Panthers,Winger
Casey McLean,Panthers,Centre
Daine Laurie,Panthers,Fullback
Dylan Edwards,Panthers,Fullback
Izack Tago,Panthers,Centre
Jack Cole,Panthers,Five-Eighth
Jesse McLean,Panthers,Winger
Nathan Cleary,Panthers,Halfback
Paul Alamoti,Panthers,Centre
Billy Scott,Panthers,Hooker
Harrison Hassett,Panthers,2nd Row
Isaah Yeo,Panthers,Lock
Isaiah Papali'i,Panthers,2nd Row
Liam Henry,Panthers,Prop
Liam Martin,Panthers,2nd Row
Lindsay Smith,Panthers,Prop
Luke Garner,Panthers,2nd Row
Luke Sommerton,Panthers,Hooker
Luron Patea,Panthers,Prop
Matthew Eisenhuth,Panthers,Lock
Mavrik Geyer,Panthers,2nd Row
Mitch Kenny,Panthers,Hooker
Moses Leota,Panthers,Prop
Preston Riki,Panthers,2nd Row
Riley Price,Panthers,Lock
Scott Sorensen,Panthers,2nd Row
Soni Luke,Panthers,Hooker
Alex Johnston,Rabbitohs,Winger
Bayleigh Bentley-Hape,Rabbitohs,Winger
Campbell Graham,Rabbitohs,Centre
Cody Walker,Rabbitohs,Five-Eighth
Declan Casey,Rabbitohs,Centre
Fletcher Myers,Rabbitohs,Winger
Gerome Burns,Rabbitohs,Halfback
Haizyn Mellars,Rabbitohs,Winger
Isaiah Tass,Rabbitohs,Centre
Jack Wighton,Rabbitohs,Centre
Jamie Humphreys,Rabbitohs,Halfback
Jayden Sullivan,Rabbitohs,Five-Eighth
Jye Gray,Rabbitohs,Fullback
Latrell Mitchell,Rabbitohs,Fullback
Lewis Dodd,Rabbitohs,Halfback
Mikaele Ravalawa,Rabbitohs,Winger
Talanoa Penitani,Rabbitohs,Centre
Benjamin Lovett,Rabbitohs,2nd Row
Cameron Murray,Rabbitohs,Lock
Davvy Moale,Rabbitohs,Prop
Euan Aitken,Rabbitohs,2nd Row
Jacob Host,Rabbitohs,2nd Row
Jai Arrow,Rabbitohs,2nd Row
Joshua Schuster,Rabbitohs,2nd Row
Keaon Koloamatangi,Rabbitohs,2nd Row
Lachlan Hubner,Rabbitohs,Lock
Liam Le Blanc,Rabbitohs,Lock
Max McCarthy,Rabbitohs,2nd Row
Nazareth Taua,Rabbitohs,2nd Row
Peter Mamouzelos,Rabbitohs,Hooker
Salesi Ataata,Rabbitohs,Prop
Sean Keppie,Rabbitohs,Prop
Shaquai Mitchell,Rabbitohs,Prop
Siliva Havili,Rabbitohs,Prop
Tallis Duncan,Rabbitohs,Lock
Tevita Tatola,Rabbitohs,Prop
Albert Hopoate,Raiders,Winger
Chevy Stewart,Raiders,Fullback
Ethan Sanders,Raiders,Halfback
Ethan Strange,Raiders,Five-Eighth
Jamal Fogarty,Raiders,Halfback
Kaeo Weekes,Raiders,Five-Eighth
Manaia Waitere,Raiders,Five-Eighth
Matthew Timoko,Raiders,Centre
Michael Asomua,Raiders,Winger
Savelio Tamale,Raiders,Centre
Sebastian Kris,Raiders,Centre
Xavier Savage,Raiders,Winger
Ata Mariota,Raiders,Prop
Corey Horsburgh,Raiders,Prop
Danny Levi,Raiders,Hooker
Hudson Young,Raiders,2nd Row
Jake Clydsdale,Raiders,Prop
Joe Roddy,Raiders,2nd Row
Jordan Martin,Raiders,Prop
Joseph Tapine,Raiders,Prop
Josh Papalii,Raiders,Prop
Matty Nicholson,Raiders,2nd Row
Morgan Smithies,Raiders,Lock
Myles Martin,Raiders,Lock
Owen Pattie,Raiders,Hooker
Pasami Saulo,Raiders,Prop
Peter Taateo,Raiders,Prop
Shaun Packer,Raiders,Hooker
Simi Sasagi,Raiders,2nd Row
Tom Starling,Raiders,Hooker
Trey Mooney,Raiders,Prop
Vena Patuki-Case,Raiders,Prop
Zac Hosking,Raiders,2nd Row
Angus Crichton,Roosters,2nd Row
Benaiah Ioelu,Roosters,Hooker
Blake Steep,Roosters,Lock
Brandon Smith,Roosters,Hooker
Connor Watson,Roosters,Lock
De La Salle Va'a,Roosters,Prop
Egan Butcher,Roosters,2nd Row
Ethan Roberts,Roosters,2nd Row
Lindsay Collins,Roosters,Prop
Makahesi Makatoa,Roosters,Prop
Nat Butcher,Roosters,Lock
Naufahu Whyte,Roosters,Prop
Salesi Foketi,Roosters,2nd Row
Siua Wong,Roosters,Prop
Spencer Leniu,Roosters,Prop
Taylor Losalu,Roosters,Prop
Tyler Moriarty,Roosters,Hooker
Victor Radley,Roosters,Lock
Billy Smith,Roosters,Centre
Chad Townsend,Roosters,Halfback
Daniel Tupou,Roosters,Winger
Dominic Young,Roosters,Winger
Fetalaiga Pauga,Roosters,Centre
James Tedesco,Roosters,Fullback
Mark Nawaqanitawase,Roosters,Winger
Reece Foley,Roosters,Five-Eighth
Robert Toia,Roosters,Centre
Sam Walker,Roosters,Halfback
Sandon Smith,Roosters,Halfback
Toby Rodwell,Roosters,Halfback
Tom Rodwell,Roosters,Centre
Tyreece Tait,Roosters,Winger
Aaron Schoupp,Sea Eagles,Centre
Clayton Faulalo,Sea Eagles,Fullback
Daly Cherry-Evans,Sea Eagles,Halfback
Jake Arthur,Sea Eagles,Halfback
Jason Saab,Sea Eagles,Winger
Joey Walsh,Sea Eagles,Halfback
Lehi Hopoate,Sea Eagles,Fullback
Luke Brooks,Sea Eagles,Five-Eighth
Raymond Tuaimalo Vaega,Sea Eagles,Winger
Reuben Garrick,Sea Eagles,Winger
Tolutau Koula,Sea Eagles,Centre
Tom Trbojevic,Sea Eagles,Fullback
Tommy Talau,Sea Eagles,Centre
Aitasi James,Sea Eagles,Lock
Ben Condon,Sea Eagles,2nd Row
Ben Trbojevic,Sea Eagles,2nd Row
Corey Waddell,Sea Eagles,2nd Row
Dean Matterson,Sea Eagles,2nd Row
Ethan Bullemor,Sea Eagles,2nd Row
Gordon Chan Kum Tong,Sea Eagles,Hooker
Haumole Olakau'atu,Sea Eagles,2nd Row
Jake Simpkin,Sea Eagles,Hooker
Jake Trbojevic,Sea Eagles,Lock
Jazz Tevaga,Sea Eagles,Lock
Josh Aloiai,Sea Eagles,Prop
Lachlan Croker,Sea Eagles,Hooker
Michael Chee Kam,Sea Eagles,2nd Row
Nathan Brown,Sea Eagles,Lock
Siosiua Taukeiaho,Sea Eagles,Prop
Taniela Paseka,Sea Eagles,Prop
Toafofoa Sipley,Sea Eagles,Prop
Addin Fonua-Blake,Sharks,Prop
Billy Burns,Sharks,2nd Row
Blayke Brailey,Sharks,Hooker
Braden Hamlin-Uele,Sharks,Prop
Briton Nikora,Sharks,2nd Row
Cameron McInnes,Sharks,Hooker
Hohepa Puru,Sharks,Lock
Jayden Berrell,Sharks,Hooker
Jesse Colquhoun,Sharks,Prop
Oregon Kaufusi,Sharks,Prop
Siosifa Talakai,Sharks,2nd Row
Teig Wilton,Sharks,2nd Row
Thomas Hazelton,Sharks,Prop
Toby Rudolf,Sharks,Prop
Tuku Hau Tapuha,Sharks,Prop
Braydon Trindall,Sharks,Five-Eighth
Daniel Atkinson,Sharks,Five-Eighth
Jesse Ramien,Sharks,Centre
Kade Dykes,Sharks,Fullback
KL Iro,Sharks,Centre
Liam Ison,Sharks,Fullback
Mawene Hiroti,Sharks,Centre
Nicholas Hynes,Sharks,Halfback
Niwhai Puru,Sharks,Halfback
Ronaldo Mulitalo,Sharks,Winger
Samuel Stonestreet,Sharks,Winger
Sione Katoa,Sharks,Winger
William Kennedy,Sharks,Fullback
Alec MacDonald,Storm,Lock
Angus Hinchey,Storm,2nd Row
Ativalu Lisati,Storm,2nd Row
Bronson Garlick,Storm,Hooker
Eliesa Katoa,Storm,2nd Row
Harry Grant,Storm,Hooker
Joe Chan,Storm,2nd Row
Josh King,Storm,Prop
Lazarus Vaalepu,Storm,Prop
Nelson Asofa-Solomona,Storm,Prop
Shawn Blore,Storm,2nd Row
Stefano Utoikamanu,Storm,Prop
Trent Loiero,Storm,2nd Row
Tui Kamikamica,Storm,Prop
Cameron Munster,Storm,Five-Eighth
Dean Ieremia,Storm,Winger
Grant Anderson,Storm,Centre
Jack Howarth,Storm,Centre
Jahrome Hughes,Storm,Halfback
Jonah Pezet,Storm,Halfback
Marion Seve,Storm,Centre
Moses Leo,Storm,Winger
Nick Meaney,Storm,Fullback
Ryan Papenhuyzen,Storm,Fullback
Stanley Huen,Storm,Five-Eighth
Sualauvi Faalogo,Storm,Fullback
Tyran Wishart,Storm,Halfback
Will Warbrick,Storm,Winger
Xavier Coates,Storm,Winger
AJ Brimson,Titans,Fullback
Allan Fitzgibbon,Titans,Winger
Alofiana Khan-Pereira,Titans,Winger
Brian Kelly,Titans,Centre
Carter Gordon,Titans,Centre
Harley Smith-Shields,Titans,Centre
Jayden Campbell,Titans,Fullback
Jaylan De Groot,Titans,Winger
Jojo Fifita,Titans,Winger
Keano Kini,Titans,Fullback
Kieran Foran,Titans,Five-Eighth
Phillip Sami,Titans,Winger
Sam Stephenson,Titans,Centre
Tom Weaver,Titans,Halfback
Tony Francis,Titans,Winger
Zane Harrison,Titans,Halfback
Beau Fermor,Titans,2nd Row
Ben Liyou,Titans,Prop
Brock Gray,Titans,2nd Row
Chris Randall,Titans,Hooker
David Fifita,Titans,2nd Row
Iszac Fa'asuamaleaui,Titans,Prop
Jacob Alick-Wiencke,Titans,2nd Row
Jaimin Jolliffe,Titans,Prop
Josiah Pahulu,Titans,Prop
Keenan Palasia,Titans,Prop
Klese Haas,Titans,2nd Row
Moeaki Fotuaika,Titans,Prop
Reagan Campbell-Gillard,Titans,Prop
Ryan Foran,Titans,2nd Row
Sam Verrills,Titans,Hooker
Sean Mullany,Titans,Hooker
Tino Fa'asuamaleaui,Titans,Prop
Tukimihia Simpkins,Titans,Prop
Adam Pompey,Warriors,Centre
Ali Leiataua,Warriors,Centre
Chanel Harris-Tavita,Warriors,Halfback
Charnze Nicoll-Klokstad,Warriors,Fullback
Dallin Watene-Zelezniak,Warriors,Winger
Edward Kosi,Warriors,Winger
Luke Metcalf,Warriors,Five-Eighth
Morgan Harper,Warriors,Centre
Rocco Berry,Warriors,Centre
Roger Tuivasa-Sheck,Warriors,Centre
Taine Tuaupiki,Warriors,Fullback
Tanah Boyd,Warriors,Halfback
Te Maire Martin,Warriors,Five-Eighth
Demitric Vaimauga,Warriors,2nd Row
Eddie Ieremia-Toeava,Warriors,2nd Row
Erin Clark,Warriors,Lock
Freddy Lussick,Warriors,Hooker
Jackson Ford,Warriors,2nd Row
Jacob Laban,Warriors,2nd Row
James Fisher-Harris,Warriors,Prop
Kurt Capewell,Warriors,2nd Row
Leka Halasima,Warriors,2nd Row
Marata Niukore,Warriors,2nd Row
Mitchell Barnett,Warriors,Lock
Samuel Healey,Warriors,Hooker
Tom Ale,Warriors,Prop
Wayde Egan,Warriors,Hooker
Iulio Afoa,Warriors,
Adam Doueihi,Wests Tigers,Centre
Brent Naden,Wests Tigers,Centre
Charlie Staines,Wests Tigers,Winger
Jahream Bula,Wests Tigers,Fullback
Jarome Luai,Wests Tigers,Halfback
Jeral Skelton,Wests Tigers,Winger
Josh Feledy,Wests Tigers,Centre
Justin Olam,Wests Tigers,Centre
Lachlan Galvin,Wests Tigers,Five-Eighth
Latu Fainu,Wests Tigers,Five-Eighth
Luke Laulilii,Wests Tigers,Winger
Solomone Saukuru,Wests Tigers,Centre
Starford To'a,Wests Tigers,Centre
Sunia Turuva,Wests Tigers,Winger
Alex Seyfarth,Wests Tigers,2nd Row
Alex Twal,Wests Tigers,Prop
Apisai Koroisau,Wests Tigers,Hooker
Brandon Tumeth,Wests Tigers,2nd Row
Fonua Pole,Wests Tigers,Prop
Jack Bird,Wests Tigers,Lock
Justin Matamua,Wests Tigers,Lock
Kit Laulilii,Wests Tigers,Lock
Royce Hunt,Wests Tigers,Prop
Samuela Fainu,Wests Tigers,2nd Row
Tallyn Da Silva,Wests Tigers,Hooker
Terrell May,Wests Tigers,Prop
Tony Sukkar,Wests Tigers,2nd Row
Tristan Hope,Wests Tigers,Hooker
